oncelik_puani,urun_id,urun_adi,magaza,url,sorun,aciklama_uzunlugu,ayni_aciklamali_urun_sayisi,goruntulenme_90g,satilan_adet
1,11356,"Dreamfarm Mini Supoon Silikon Kaşık, Siyah",EYB,https://sportoonline.com/tr/urun/dreamfarm-mini-kasik-siyah,kopya_aciklama,1060,5,1,0
1,11357,"Dreamfarm Mini Supoon Silikon Kaşık, Kırmızı",EYB,https://sportoonline.com/tr/urun/dreamfarm-mini-kasikkirmizi,kopya_aciklama,1060,5,1,0
1,11443,"Dreamfarm Supoon Silikon Kaşık, Siyah",EYB,https://sportoonline.com/tr/urun/dreamfarm-siyirma-kasigi-siyah,kopya_aciklama,1262,5,1,0
1,11444,"Dreamfarm Supoon Silikon Kaşık, Kırmızı",EYB,https://sportoonline.com/tr/urun/dreamfarm-siyirma-kasigikirmizi,kopya_aciklama,1262,5,1,0
1,11556,"Troika Marangoz Kalemi, Sarı",EYB,https://sportoonline.com/tr/urun/troika-marangoz-kalemsari,kopya_aciklama,553,3,1,0
1,11583,"Wenger 01.1441.136 City Classic 42mm Erkek Kol Saati",EYB,https://sportoonline.com/tr/urun/wenger-city-classicgms-kdrclk-kys-kol-saati,kopya_aciklama,865,2,1,0
1,11587,"Victorinox 6.7734.C1 Swiss Classic 10cm Tırtıklı Soyma Bıçağı, Yeşil",EYB,https://sportoonline.com/tr/urun/victorinox-67734c1-swiss-classic-10cm-tirtikli-soyma-bicagi-yesill,kopya_aciklama,606,4,1,0
1,11748,"Victorinox 0.8006.20 Onefold Çakı,Kırmızı",EYB,https://sportoonline.com/tr/urun/victorinox-0800620-onefold-cakikirmizi,kopya_aciklama,1236,2,1,0
1,11749,"Victorinox 0.8006.22 Onefold Çakı,Mavi",EYB,https://sportoonline.com/tr/urun/victorinox-0800622-onefold-cakimavi,kopya_aciklama,1236,2,1,0
1,11787,"Victorinox 0.8216.22 Synergy Çakı,Mavi",EYB,https://sportoonline.com/tr/urun/victorinox-0821622-synergy-cakimavi,kopya_aciklama,1370,3,1,0
1,11788,"Victorinox 0.8216.26 Synergy Çakı,Gümüş",EYB,https://sportoonline.com/tr/urun/victorinox-0821626-synergy-cakigumus,kopya_aciklama,1370,3,1,0
1,11901,"Victorinox 0.6463.B Tırnak Makaslı Çakı, Kırmızı, Blisterli",EYB,https://sportoonline.com/tr/urun/victorinox-06463b-tirnakmakasli-cakikrmblister,aciklama_yok,0,0,1,0
1,11977,"Victorinox 4.1325 Bileme Taşı, Kahverengi",EYB,https://sportoonline.com/tr/urun/victbileme-tasi-khv,aciklama_yok,0,0,1,0
1,12235,"Dreamfarm Supoon Silikon Kaşık, Sarı",EYB,https://sportoonline.com/tr/urun/dreamfarm-siyirma-kasigisari,kopya_aciklama,1262,5,1,0
1,12236,"Dreamfarm Supoon Silikon Kaşık, Yeşil",EYB,https://sportoonline.com/tr/urun/dreamfarm-siyirma-kasigiyesil,kopya_aciklama,1262,5,1,0
1,12301,"Dreamfarm Ograte 6mm Rende, Turuncu",EYB,https://sportoonline.com/tr/urun/dreamfarm-ograte-rendeturuncu,kopya_aciklama,1001,2,1,0
1,12417,"Victorinox 7.4128.3 36cm Siyah Gurme Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-741283-gurme-kesme-tahtasi,kopya_aciklama,933,2,1,0
1,12418,"Victorinox 7.4128 36cm Gurme Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-74128-gurme-kesme-tahtasi,kopya_aciklama,933,2,1,0
1,12421,"Victorinox 7.4122.3 36cm Siyah Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-741223-kesme-tahtasi,kopya_aciklama,809,2,1,0
1,12435,"Dreamfarm Supoon Silikon Kaşık, Mavi",EYB,https://sportoonline.com/tr/urun/dreamfarm-siyirma-kasigi-mavi,kopya_aciklama,1262,5,1,0
1,12437,"Victorinox 7.4120 20cm Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-74120-kesme-tahtasi,kopya_aciklama,806,2,1,0
1,12470,"Victorinox 7.4121.3 29cm Siyah Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-741213-kesme-tahtasi,kopya_aciklama,809,2,1,0
1,12497,"Victorinox 7.4121 29cm Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-74121-kesme-tahtasi,kopya_aciklama,809,2,1,0
1,12591,"Dreamfarm Chopula Spatula, Sarı",EYB,https://sportoonline.com/tr/urun/dreamfarm-chopula-spatula-sari,kopya_aciklama,1158,5,1,0
1,12592,"Dreamfarm Chopula Spatula, Yeşil",EYB,https://sportoonline.com/tr/urun/dreamfarm-chopula-spatula-yesil,kopya_aciklama,1158,5,1,0
1,12627,"Dreamfarm Chopula Spatula, Siyah",EYB,https://sportoonline.com/tr/urun/dreamfarm-chopula-spatula-siyah,kopya_aciklama,1158,5,1,0
1,12628,"Dreamfarm Chopula Spatula, Kırmızı",EYB,https://sportoonline.com/tr/urun/dreamfarm-chopula-spatulakirmizi,kopya_aciklama,1158,5,1,0
1,12706,"Victorinox 7.4122 36cm Kesme Tahtası",EYB,https://sportoonline.com/tr/urun/victorinox-74122-kesme-tahtasi,kopya_aciklama,809,2,1,0
1,12807,"Dreamfarm Chopula Spatula, Mavi",EYB,https://sportoonline.com/tr/urun/dreamfarm-chopula-spatula-mavi,kopya_aciklama,1158,5,1,0
1,12843,"Victorinox 612497 Airox Global Hardside Bavul, Kabin Boy, Siyah",EYB,https://sportoonline.com/tr/urun/vtg-airox-global-hardside-bavul40x20x55cmsyh,kopya_aciklama,494,2,1,0
1,12893,"Dreamfarm Big Lestrain Süzgeç, Siyah",EYB,https://sportoonline.com/tr/urun/dreamfarm-suzgec-kasik-siyah,kopya_aciklama,767,2,1,0
1,12894,"Dreamfarm Big Lestrain Süzgeç, Kırmızı",EYB,https://sportoonline.com/tr/urun/dreamfarm-suzgec-kasikkirmizi,kopya_aciklama,767,2,1,0
1,12929,"Feuerhand 276 Gazlı Fener Kandil Yağı",EYB,https://sportoonline.com/tr/urun/kandil-yagi,ince_aciklama,108,0,1,0
1,13082,"Dreamfarm Mini Supoon Silikon Kaşık, Yeşil",EYB,https://sportoonline.com/tr/urun/dreamfarm-mini-kasikyesil,kopya_aciklama,1060,5,1,0
1,13084,"Dreamfarm Mini Supoon Silikon Kaşık, Sarı",EYB,https://sportoonline.com/tr/urun/dreamfarm-mini-kasik-sari,kopya_aciklama,1060,5,1,0
1,13129,"Dreamfarm Scizza Pizza Makası, Kırmızı",EYB,https://sportoonline.com/tr/urun/dreamfarm-pizza-makasikirmizi,aciklama_yok,0,0,1,0
1,13132,"Dreamfarm Ograte 3mm Rende, Sarı",EYB,https://sportoonline.com/tr/urun/dreamfarm-ograte-rendesari,kopya_aciklama,1001,2,1,0
1,13290,"Victorinox A.6144.0 Tükenemz Kalem",EYB,https://sportoonline.com/tr/urun/victorinox-a61440-tukenmez-kalem-062-063-serisi,aciklama_yok,0,0,1,0
1,13399,"True Utility 7060N Keychain Gri Blisterli Çakı",EYB,https://sportoonline.com/tr/urun/true-utility-7060n-keychain-gri-blisterli-caki,kopya_aciklama,374,2,1,0
1,13699,"Victorinox 5.5203.20 20cm Siyah Kasap Bıçağı, Kaydırmaz Sap",EYB,https://sportoonline.com/tr/urun/victorinox-20cm-siyah-fibrox-kasap-bicagi,aciklama_yok,0,0,1,0
1,13700,"Victorinox 5.6003.15 15cm Siyah Geniş Ağız Sıyırma Bıçağı, Kaydırmaz Sap",EYB,https://sportoonline.com/tr/urun/victorinox-15cm-siyah-fibrox-siyirma-bicagi,ince_aciklama,138,0,1,0
1,15513,"XTR Fitness Pro Series Dambıl 7,5 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-75-kg,kopya_aciklama,1908,7,1,0
1,15516,"XTR Fitness Pro Series Dambıl 2,5 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-25-kg,kopya_aciklama,1908,7,1,0
1,15520,"XTR Fitness Pro Series Dambıl 17,5 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-175-kg,kopya_aciklama,1908,7,1,0
1,15521,"XTR Fitness Pro Series Dambıl 20 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-20-kg,aciklama_yok,0,0,1,0
1,15522,"XTR Fitness Pro Series Dambıl 5 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-5-kg,kopya_aciklama,1908,7,1,0
1,15528,"XTR Fitness Pro Series Dambıl 15 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-15-kg,kopya_aciklama,1908,7,1,0
1,15531,"XTR Fitness Pro Series Dambıl 10 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-10-kg,kopya_aciklama,1908,7,1,0
1,15532,"XTR Fitness Pro Series Dambıl 12,5 kg",multiprice,https://sportoonline.com/tr/urun/xtr-fitness-pro-series-dambil-125-kg,kopya_aciklama,1908,7,1,0
1,15543,"Olympia Joe Weider Weekend Rag Top Beyaz",multiprice,https://sportoonline.com/tr/urun/olympia-joe-weider-weekend-rag-top-beyaz,aciklama_yok,0,0,1,0
1,15550,"ANIMAL JOY ANAHTARLIK","Animal Joy",https://sportoonline.com/tr/urun/animal-joy-anahtarlik,ince_aciklama,72,0,1,0
1,15552,"ANIMAL JOY SHAKER","Animal Joy",https://sportoonline.com/tr/urun/animal-joy-shaker,ince_aciklama,111,0,1,0
1,15559,"CREATINE LANSMAN","Animal Joy",https://sportoonline.com/tr/urun/creatine-lansman,kopya_aciklama,211,2,1,0
1,15560,"CREATINE MONOHYDRATE","Animal Joy",https://sportoonline.com/tr/urun/creatine-monohydrate,kopya_aciklama,211,2,1,0
1,15573,"PRE WORKOUT - GORILLA","Animal Joy",https://sportoonline.com/tr/urun/pre-workout-gorilla,kopya_aciklama,224,2,1,0
1,15578,"PROTEIN PEANUT BUTTER","Animal Joy",https://sportoonline.com/tr/urun/protein-peanut-butter,kopya_aciklama,222,2,1,0
1,15590,"PROTEIN PEANUT BUTTER LANSMAN","Animal Joy",https://sportoonline.com/tr/urun/protein-peanut-butter-lansman,kopya_aciklama,222,2,1,0
1,15592,"PRE WORKOUT - GORILLA","Animal Joy",https://sportoonline.com/tr/urun/animal-rush-pre-workout,kopya_aciklama,224,2,1,0
1,15599,"Olimp 250 gr Aromasız Kreatin",multiprice,https://sportoonline.com/tr/urun/olimp-250-gr-aromasiz-kreatin,aciklama_yok,0,0,1,0
1,15600,"Nutrend Whey Protein 2250 gr Protein Tozu",multiprice,https://sportoonline.com/tr/urun/nutrend-whey-protein-2250-gr-protein-tozu,ince_aciklama+aciklama_ad_ile_ayni,41,0,1,0
1,15601,"Olimp Glucosamine Plus 60 Kapsül",multiprice,https://sportoonline.com/tr/urun/olimp-glucosamine-plus-60-kapsul-3,ince_aciklama+aciklama_ad_ile_ayni,32,0,1,0
1,15602,"Nutrend Creatine Monohydrate 300 gr Kreatin",multiprice,https://sportoonline.com/tr/urun/nutrend-creatine-monohydrate-300-gr-kreatin,ince_aciklama+aciklama_ad_ile_ayni,43,0,1,0
1,15603,"Sleep ON Melatonin Gummies 30 Gummies",multiprice,https://sportoonline.com/tr/urun/sleep-on-melatonin-gummies-30-gummies,ince_aciklama+aciklama_ad_ile_ayni,37,0,1,0
1,15605,"C4 PREWORKOUT (30SERVİS) Karpuz",multiprice,https://sportoonline.com/tr/urun/c4-preworkout-30servis-karpuz,aciklama_yok,0,0,1,0
1,15606,"Cellucor C4 Pre-Workout Shot 60 mL 12 Adet",multiprice,https://sportoonline.com/tr/urun/cellucor-c4-pre-workout-shot-60-ml-12-adet,aciklama_yok,0,0,1,0
1,15607,"Fa Nutrition Ice Pump Pre Workout 463 GR Ice Citrus & Peach",multiprice,https://sportoonline.com/tr/urun/fa-nutrition-ice-pump-pre-workout-463-gr-ice-citrus-peach,ince_aciklama,63,0,1,0
1,15609,"Applied Nutrition Critical Mass Professional Lean Mass Gainer 6 Kg Çilek",multiprice,https://sportoonline.com/tr/urun/applied-nutrition-critical-mass-professional-lean-mass-gainer-6-kg-cilek,aciklama_yok,0,0,1,0
1,15610,"Kevin Levrone Gold Lean Mass, ÇİKOLATA 6 Kg",multiprice,https://sportoonline.com/tr/urun/kevin-levrone-gold-lean-mass-cikolata-6-kg,ince_aciklama+aciklama_ad_ile_ayni,43,0,1,0
1,15618,"Newday Magnezyum Complex 60 Kapsül",multiprice,https://sportoonline.com/tr/urun/newday-magnezyum-complex,ince_aciklama+aciklama_ad_ile_ayni,34,0,1,0
1,15619,"SORVAGEN 4x4 MAGNEZYUM COMPLEX - 60 Tablet",multiprice,https://sportoonline.com/tr/urun/sorvagen-4x4-magnezyum-complex-60-tablet,ince_aciklama+aciklama_ad_ile_ayni,42,0,1,0
1,15623,"Under Armour Roland Lux Su geçirmez Gri Sırt Çantası",multiprice,https://sportoonline.com/tr/urun/under-armour-roland-lux-su-gecirmez-gri-sirt-cantasi,ince_aciklama+aciklama_ad_ile_ayni,52,0,1,0
1,15624,"Oakley ENDURO 20L 3.0 unisex SIRT ÇANTASI",multiprice,https://sportoonline.com/tr/urun/oakley-enduro-20l-30-unisex-sirt-cantasi,aciklama_yok,0,0,1,0
1,15642,"HeynuT %100 Fıstık Ezmesi (Parçacıklı) 800g",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-parcacikli-800g,kopya_aciklama,1249,2,1,0
1,15643,"HeynuT %100 Fıstık Ezmesi (Klasik) 800g",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-klasik-800g,kopya_aciklama,1989,2,1,0
1,15648,"HeynuT Şeker ilavesiz Çikolatalı Fıstık Ezmesi 350g",HeynuT,https://sportoonline.com/tr/urun/heynut-seker-ilavesiz-cikolatali-fistik-ezmesi-350g,kopya_aciklama,1273,2,1,0
1,15649,"HeynuT %100 Fıstık Ezmesi (Klasik) 330g",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-klasik-330g,kopya_aciklama,1989,2,1,0
1,15654,"HeynuT %100 Fıstık Ezmesi (Klasik) 330g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-klasik-330g-x-3-adet,kopya_aciklama,1982,2,1,0
1,15655,"HeynuT Kakaolu Fıstık Ezmesi 320g",HeynuT,https://sportoonline.com/tr/urun/heynut-kakaolu-fistik-ezmesi-320g,kopya_aciklama,835,3,1,0
1,15660,"HeynuT Kavrulmuş Tuzlu Fıstık 200g",HeynuT,https://sportoonline.com/tr/urun/heynut-kavrulmus-tuzlu-fistik-200g,ince_aciklama,89,0,1,0
1,15664,"HeynuT Kakaolu Fıstık Ezmesi 320g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-kakaolu-fistik-ezmesi-320g-x-3-adet,kopya_aciklama,835,3,1,0
1,15666,"HeynuT %100 Fıstık Ezmesi (Parçacıklı) 800g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-parcacikli-800g-x-3-adet,kopya_aciklama,1249,2,1,0
1,15667,"HeynuT %100 Fıstık Ezmesi (Klasik) 800g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-100-fistik-ezmesi-klasik-800g-x-3-adet,kopya_aciklama,1982,2,1,0
1,15670,"HeynuT Original Fıstık Ezmesi 320g",HeynuT,https://sportoonline.com/tr/urun/heynut-original-fistik-ezmesi-320g,kopya_aciklama,477,4,1,0
1,15671,"HeynuT Original Şeker İlavesiz Fıstık Ezmesi 320g",HeynuT,https://sportoonline.com/tr/urun/heynut-original-seker-ilavesiz-fistik-ezmesi-320g,kopya_aciklama,477,4,1,0
1,15672,"HeynuT Original Ballı Fıstık Ezmesi 320g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-original-balli-fistik-ezmesi-320g-x-3-adet,kopya_aciklama,477,4,1,0
1,15673,"HeynuT Original Şeker İlavesiz Fıstık Ezmesi 320g x 3 Adet",HeynuT,https://sportoonline.com/tr/urun/heynut-original-seker-ilavesiz-fistik-ezmesi-320g-x-3-adet,kopya_aciklama,477,4,1,0
1,15674,"HeynuT Kakaolu Fıstık Ezmesi 800g",HeynuT,https://sportoonline.com/tr/urun/heynut-kakaolu-fistik-ezmesi-800g,kopya_aciklama,835,3,1,0
1,15676,"HeynuT Şeker ilavesiz Çikolatalı Fıstık Ezmesi 800g",HeynuT,https://sportoonline.com/tr/urun/heynut-seker-ilavesiz-cikolatali-fistik-ezmesi-800g,kopya_aciklama,1273,2,1,0
1,15679,"Yonex Mavis 350 (6'lı) Beyaz Badminton Topu - Yeşil Bant",multiprice,https://sportoonline.com/tr/urun/yonex-mavis-350-6li-beyaz-badminton-topu-yesil-bant-11966,kopya_aciklama,2544,3,1,0
1,15684,"Yonex NBG 98 Badminton Kordajı 200 M Gümüş Gri",multiprice,https://sportoonline.com/tr/urun/yonex-nbg-98-badminton-kordaji-200-m-gumus-gri-12158,ince_aciklama,29,0,1,0
1,15700,"Yonex YY22 Muscle Power 20 Kırmızı 60 lı Poşet Çocuk Tenis Topu",multiprice,https://sportoonline.com/tr/urun/yonex-yy22-muscle-power-20-kirmizi-60-li-poset-cocuk-tenis-topu-12472,ince_aciklama+aciklama_ad_ile_ayni,63,0,1,0
1,15702,"Yonex Ezone Jr 25 İnç 245 Gram Gök Mavi Çift Parça Çocuk Tenis Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-ezone-jr-25-inc-245-gram-gok-mavi-cift-parca-cocuk-tenis-raketi--12575,ince_aciklama,54,0,1,0
1,15704,"Yonex Destekli Pedli Zeytin Yeşili Sporcu Brası 46045",multiprice,https://sportoonline.com/tr/urun/yonex-destekli-pedli-zeytin-yesili-sporcu-brasi-46045-12714,kopya_aciklama,785,2,1,0
1,15705,"Yonex Destekli Pedli Mor Sporcu Brası 46045",multiprice,https://sportoonline.com/tr/urun/yonex-destekli-pedli-mor-sporcu-brasi-46045-12715,kopya_aciklama,785,2,1,0
1,15709,"Yonex Tshirt Pembe Kadın 16689",multiprice,https://sportoonline.com/tr/urun/yonex-tshirt-pembe-kadin-16689-12736,kopya_aciklama,805,2,1,0
1,15710,"Yonex Tshirt Lila Kadın 16689",multiprice,https://sportoonline.com/tr/urun/yonex-tshirt-lila-kadin-16689-12737,kopya_aciklama,805,2,1,0
1,15717,"Yonex Ac 500 Çanta Kimlik Etiketi",multiprice,https://sportoonline.com/tr/urun/yonex-ac-500-canta-kimlik-etiketi-12799,ince_aciklama+aciklama_ad_ile_ayni,33,0,1,0
1,15730,"Yonex LB0024 Erkek Sarı Spor Tişört",multiprice,https://sportoonline.com/tr/urun/yonex-lb0024-erkek-sari-spor-tisort-12907,ince_aciklama,84,0,1,0
1,15745,"Yonex YY25 25 inch 230 Gram Çift Parça Mercan Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-25-inch-230-gram-cift-parca-mercan-cocuk-raketi-13768,kopya_aciklama,733,2,1,0
1,15746,"Yonex YY25 23 inch 200 Gram Çift Parça Mercan Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-23-inch-200-gram-cift-parca-mercan-cocuk-raketi-13769,kopya_aciklama,648,2,1,0
1,15747,"Yonex YY25 21 inch 185 Gram Çift Parça Mercan Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-21-inch-185-gram-cift-parca-mercan-cocuk-raketi-13770,kopya_aciklama,617,2,1,0
1,15748,"Yonex YY25 21 inch 185 Gram Çift Parça Mavi Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-21-inch-185-gram-cift-parca-mavi-cocuk-raketi-13771,kopya_aciklama,617,2,1,0
1,15749,"Yonex YY25 23 inch 200 Gram Çift Parça Mavi Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-23-inch-200-gram-cift-parca-mavi-cocuk-raketi-13772,kopya_aciklama,648,2,1,0
1,15750,"Yonex YY25 25 inch 230 Gram Çift Parça Mavi Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-25-inch-230-gram-cift-parca-mavi-cocuk-raketi-13773,kopya_aciklama,733,2,1,0
1,15756,"YY24 YJ0036 JUNIOR ŞORT - BEYAZ",multiprice,https://sportoonline.com/tr/urun/yy24-yj0036-junior-sort-beyaz-13797,ince_aciklama,14,0,1,0
1,15768,"Yonex LB0024 Erkek Beyaz Spor Tişört",multiprice,https://sportoonline.com/tr/urun/yonex-lb0024-erkek-beyaz-spor-tisort-14730,ince_aciklama,84,0,1,0
1,15781,"Yonex YY25 26 inch 240 Gram Mercan Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-26-inch-240-gram-mercan-cocuk-raketi-14914,kopya_aciklama,894,2,1,0
1,15782,"Yonex YY25 26 inch 240 Gram Mavi Çocuk Raketi",multiprice,https://sportoonline.com/tr/urun/yonex-yy25-26-inch-240-gram-mavi-cocuk-raketi-14915,kopya_aciklama,894,2,1,0
1,15789,"Yonex Mavis 350 (6'lı) Beyaz Badminton Topu - Kırmızı Bant",multiprice,https://sportoonline.com/tr/urun/yonex-mavis-350-6li-beyaz-badminton-topu-kirmizi-bant-15460,kopya_aciklama,2544,3,1,0
1,15791,"Yonex Mavis 350 (6'lı) Sarı Badminton Topu - Mavi Bant",multiprice,https://sportoonline.com/tr/urun/yonex-mavis-350-6li-sari-badminton-topu-mavi-bant-15504,kopya_aciklama,2544,3,1,0
1,15818,"Dymatize Elite Whey Protein Powder 2.3 KG",multiprice,https://sportoonline.com/tr/urun/dymatize-elite-whey-protein-powder-23-kg,aciklama_yok,0,0,1,0
0,895,"Boodun Profesyonel Luminous Bisiklet Eldiveni",multiprice,https://sportoonline.com/tr/urun/boodun-profesyonel-luminous-bisiklet-eldiveni,ince_aciklama+aciklama_ad_ile_ayni,45,0,0,0
0,905,"JOINFIT PRO Muscle Relaxation Foam Roller",multiprice,https://sportoonline.com/tr/urun/joinfit-pro-muscle-relaxation-foam-roller,ince_aciklama+aciklama_ad_ile_ayni,41,0,0,0
0,1461,"Lynx PRO Prolen Dry Touch Kısa Kesim Yürüyüş ve Koşu Çorabı Pembe/Turkuaz",Norfolk,https://sportoonline.com/tr/urun/lynx-pro-prolen-dry-touch-kisa-kesim-yuruyus-ve-kosu-corabi-pembe-turkuaz,kopya_aciklama,694,3,0,0
0,1462,"Lynx PRO Prolen Dry Touch Kısa Kesim Yürüyüş ve Koşu Çorabı Yeşil/Mavi",Norfolk,https://sportoonline.com/tr/urun/lynx-pro-prolen-dry-touch-kisa-kesim-yuruyus-ve-kosu-corabi-yesil-mavi,kopya_aciklama,694,3,0,0
0,1464,"Lynx Kısa Kesim Yürüyüş ve Koşu Çorabı 2'li Paket Pembe/Turkuaz",Norfolk,https://sportoonline.com/tr/urun/lynx-kisa-kesim-yuruyus-ve-kosu-corabi-2li-paket-pembe-turkuaz,kopya_aciklama,694,3,0,0
0,1466,"SEVILLA Crew Gelişmiş Nem Kontrollü Light Compression Profesyonel Koşu Çorabı - Siyah",Norfolk,https://sportoonline.com/tr/urun/sevilla-sc-gelismis-nem-kontrollu-compression-profesyonel-kosu-corabi-siyah,kopya_aciklama,914,4,0,0
0,1467,"SEVILLA Crew Gelişmiş Nem Kontrollü Light Compression Profesyonel Koşu Çorabı - Lacivert/Sarı",Norfolk,https://sportoonline.com/tr/urun/sevilla-sc-gelismis-nem-kontrollu-compression-profesyonel-kosu-corabi-mavi,kopya_aciklama,914,4,0,0
0,1468,"SEVILLA Crew Gelişmiş Nem Kontrollü Light Compression Profesyonel Koşu Çorabı - Pembe",Norfolk,https://sportoonline.com/tr/urun/sevilla-sc-gelismis-nem-kontrollu-compression-profesyonel-kosu-corabi-pembe,kopya_aciklama,914,4,0,0
0,1469,"SEVILLA Crew Gelişmiş Nem Kontrollü Light Compression Profesyonel Koşu Çorabı - Beyaz",Norfolk,https://sportoonline.com/tr/urun/sevilla-sc-gelismis-nem-kontrollu-compression-profesyonel-kosu-corabi-beyaz,kopya_aciklama,914,4,0,0
